DepartmentName,JobTitle,Salary,Zip
Early Learning Services,Employment Agreement,"$9,475.00",
BPS Special Education,Teacher,"$90,477.08",
BPS Special Education,Teacher,"$104,262.64",
BPS Special Education,Teacher,"$104,262.64",
BPS Timilty Middle,Teacher,"$97,882.03",
BPS Special Education,Teacher,,
BPS Special Education,Teacher,"$105,282.07",
BPS Special Education,Teacher,"$98,377.05",
BPS Special Education,Teacher,,
BPS Special Education,Teacher,"$87,299.60",
Asst Superintendent-Network A,Headmaster,"$139,787.52",
BPS Special Education,Teacher,"$91,809.76",
BPS Special Education,Teacher,"$69,839.65",
BPS Boston Latin,Teacher,"$95,657.99",
Jackson/Mann K-8,Teacher,"$101,039.74",
BPS Holmes Elementary,Teacher,"$105,704.37",
BPS Latin Academy,Teacher,"$104,262.64",
BPS O'Bryant School,Teacher,"$95,547.39",
BPS Boston Latin,Teacher,"$63,731.97",
BPS Human Resource Team,Teacher,"$76,150.44",
BPS Special Education,Teacher,"$103,863.73",
BPS McKinley Middle,Asst Program Director (7),"$127,286.66",
BPS McKinley Middle,Teacher,"$111,684.18",
BPS Mather Elementary,Teacher,"$108,710.99",
BPS Brighton High,Teacher,$437.30,
East Boston EEC,Teacher,"$90,580.08",
BPS O'Bryant School,Guidance Counselor(1),"$104,262.64",
BPS Boston International HS,Teacher,"$105,393.29",
BPS Brighton High,Rotc Instructor,"$59,669.32",
Tech Boston Academy,Cafeteria Manager14,"$45,149.51",
BPS Facility Management,Recycle Op 17,"$54,435.71",
Mildred Avenue K-8,Teacher,"$105,348.34",
BPS Russell Elementary,Teacher,"$44,082.07",
BPS Adams Elementary,Teacher,"$113,936.88",
Hernandez K-8,Paraprofessional,"$34,807.60",
BPS Facility Management,Bldg Services Material Dis Mg,"$107,051.25",
BPS Quincy Elementary,Paraprofessional,"$33,594.37",
Kilmer K-8,Prin Clerk/School Sec 19,"$51,879.30",
West Zone ELC,Community Field Coordinator,"$47,809.62",
BPS Counseling Service,Specialist (BTU),"$99,624.16",
BPS Madison Park High,Business Agent,"$126,011.00",
BPS Special Education,Teacher,"$100,807.66",
Roosevelt K-8,Nurse,"$100,366.20",
BPS Latin Academy,Part-Time Cafeteria Attendant,"$15,912.35",
BPS Harvard/Kent Elementary,Paraprofessional,"$32,823.87",
Frederick Pilot Middle,Cafeteria Manager14,"$44,890.09",
BPS Murphy Elementary,Teacher,"$97,471.06",
BPS Fenway High,Student Services Coordinator,"$91,783.38",
Hernandez K-8,Cafeteria Manager 12,"$42,986.60",
BPS Russell Elementary,Teacher,"$95,709.36",
BPS Condon Elementary,Teacher,"$88,741.06",
BPS Facility Management,Sen Cust C,"$54,957.44",
BPS Condon Elementary,Teacher,"$93,385.85",
"Greenwood, S K-8",Library Paraprofessional,"$28,776.72",
BPS Otis Elementary,Teacher,"$107,749.49",
BPS Burke High,Part-Time Cafeteria Attendant,"$13,119.00",
BPS Chittick Elementary,Teacher,"$97,080.21",
BPS Special Education,Teacher,"$103,863.73",
BPS Latin Academy,Teacher,"$96,591.39",
BPS Substitute Teachers/Nurs,Sub Teacher - Retiree,"$7,120.36",
Tech Boston Academy,Chief Admin Officer,"$155,161.41",
Career & Technical Ed,Comm Connections Fac,"$6,322.83",
BPS Boston Comm Leadership Ac,Community Field Coordinator,"$55,575.30",
"Kennedy, JF Elementary",Principal Elementary,"$123,759.69",
BPS Transportation,Cab Monitor,"$37,016.74",
BPS Bradley Elementary,Teacher,"$98,033.12",
BPS Adams Elementary,Teacher,"$104,550.37",
BPS Tynan Elementary,Nurse,"$43,783.34",
Mattapan Early Elementary,Surround Care Paraprofessional,"$37,275.86",
BPS Facility Mgmt/A & R,Chief Sup-Sch Bdg Plg&Gas Ftng,"$96,450.90",
BPS Tynan Elementary,Principal Elementary,"$131,387.72",
BPS Mckay Elementary,Teacher,"$97,902.22",
BPS Dearborn Middle,Teacher,"$111,318.64",
Haley Pilot,Paraprofessional,"$36,568.91",
BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$21,144.98",
BPS Human Resource Team,Teacher,"$96,591.39",
Jackson/Mann K-8,Teacher,"$100,110.92",
West Roxbury Academy,Teacher,"$103,108.64",
Public Facilities Department,Project Manager (PFD),"$96,883.66",
BPS Condon Elementary,Teacher,"$49,878.53",
BPS East Boston High,Asst Headmaster,"$117,679.20",
Jackson/Mann K-8,Paraprofessional,"$33,763.75",
Haynes EEC,Prin Clerk/School Sec 19,"$49,513.68",
BPS Special Education,Sen Clerk School Sec 766-15B,,
BPS Mozart Elementary,Teacher,"$57,079.48",
BPS Mason Elementary,Lead Satellite Attendant B,"$21,563.18",
Margarita Muniz Academy,Part-Time Cafeteria Attendant,"$20,999.15",
BPS Russell Elementary,Nurse,"$104,165.87",
Henderson Elementary,Teacher,"$100,929.59",
BPS Mendell Elementary,Teacher,"$95,132.36",
Registry Division,Prin Clerk (Vitals/Registry),"$46,817.70",
BPS Boston Arts Academy,Teacher,"$73,189.94",
BPS Snowden International Hi,Community Field Coordinator,"$54,192.24",
Ellison/Parks EES,Surround Care Paraprofessional,"$40,539.54",
BPS Beethoven Elementary,Teacher,"$94,459.36",
BPS Orchard Gardens K-8 Pilot,Part-Time Cafeteria Attendant,"$17,325.75",
BPS Madison Park High,Asst Cafeteria Manager,"$39,668.13",
BPS Ellis Elementary,Paraprofessional,"$30,234.82",
BPS High School Renewal,Director (BASAS 11B),"$127,682.60",
BPS Trotter Elementary,Paraprofessional,"$41,861.74",
BPS Human Resource Team,Director (D) (non-ac),"$119,424.76",
Lyndon K-8,Nurse,"$102,724.14",
BPS Conley Elementary,Paraprofessional,"$37,071.90",
BPS Special Education,One to One Para,"$39,985.67",
BPS School Safety Service,Officer-Bps Police,"$50,891.10",
Dpt of Innovation & Technology,Prin Dp Sys Anal-Dp,"$126,217.32",
"Kennedy, JF Elementary",Lunch Hour Monitors,"$8,748.06",
BPS Special Education,Prin Clerk Typist 28,"$63,206.81",
English Language Learn,Coordinator 4,"$97,611.01",
BPS McCormack Middle,Teacher,"$98,138.98",
Alighieri Montessori School,Teacher,"$83,315.22",
BPS Channing Elementary,Teacher,"$95,309.62",
BPS Orchard Gardens K-8 Pilot,Paraprofessional,"$33,155.35",
BPS Higginson Elementary,Paraprofessional,"$5,249.13",
Jackson/Mann K-8,Teacher,"$79,846.83",
BPS Substitute Teachers/Nurs,Substitute Teacher,"$9,340.13",
Lyndon K-8,Lunch Hour Monitors,"$8,706.60",
BPS Grew Elementary,Teacher,"$33,376.10",
BPS Snowden International Hi,Teacher,"$98,347.74",
BPS East Boston High,Paraprofessional,"$33,932.00",
Edison K-8,Paraprofessional,"$29,356.12",
BPS Human Resource Team,Specialist (C),"$94,089.83",
BPS McKinley Middle,Community Field Coordinator,"$64,237.03",
BPS Lee Elementary,Paraprofessional,"$31,973.26",
BPS Madison Park High,Teacher,"$101,190.52",
BPS Special Education,Teacher,"$104,097.66",
Mission Hill K-8,Teacher,"$91,302.49",
West Roxbury Academy,Teacher,"$91,367.12",
BPS Dearborn Middle,Teacher,"$67,415.05",
BPS Winthrop Elementary,Teacher,"$102,237.26",
BPS Hennigan Elementary,Security Para,"$45,307.58",
BPS Mather Elementary,Paraprofessional,"$38,525.00",
BPS McCormack Middle,Teacher,"$108,768.67",
BPS Ohrenberger Elementary,Paraprofessional,"$29,387.99",
HPEC: Com Acd Science & Health,Teacher,"$103,301.14",
BPS Murphy Elementary,Teacher,"$104,611.97",
Perry K-8,Paraprofessional,"$31,183.68",
BPS Dearborn Middle,Teacher,"$115,667.84",
BPS Human Resource Team,Prin Account Clerk 29,"$64,541.88",
BPS Quincy Elementary,Paraprofessional,"$29,116.02",
BPS Murphy Elementary,Teacher,"$96,344.16",
BPS Dearborn Middle,Teacher,"$110,818.64",
BPS Manning Elementary,Paraprofessional,"$13,795.28",
BPS McKinley Middle,Headmaster,"$130,783.97",
Higginson/Lewis K-8,Teacher,"$96,230.77",
BPS Mason Elementary,SpEd Support Svcs Coordinator,"$103,877.80",
Early Learning Services,Program Director (Basas 9),"$110,568.10",
Mission Hill K-8,Principal Middle,"$133,353.62",
BPS Hennigan Elementary,Asst Principal Elementary,"$128,211.85",
BPS Perkins Elementary,Teacher,,
BPS Madison Park High,Guidance Counselor(1),"$106,490.22",
Haynes EEC,Principal Elementary,"$130,384.09",
"Kennedy, JF Elementary",Teacher,"$64,075.04",
BPS Burke High,SpEd Support Svcs Coordinator,"$108,781.21",
BPS Channing Elementary,Teacher,"$107,243.64",
BPS Ellis Elementary,Teacher,"$104,212.29",
BPS Condon Elementary,Paraprofessional,"$35,703.13",
BPS Charlestown High,Teacher,"$111,235.94",
BPS Mather Elementary,Teacher,"$94,385.46",
BPS Latin Academy,Teacher,"$103,743.57",
BPS Mason Elementary,Teacher,"$96,711.34",
BPS Ellis Elementary,Teacher,"$93,385.85",
BPS Murphy Elementary,Teacher,"$94,903.19",
Eliot K-8,Principal Middle,"$145,102.96",
Higginson/Lewis K-8,Teacher,"$96,983.27",
BPS Trotter Elementary,Teacher,"$111,607.85",
Haley Pilot,Teacher,"$83,744.47",
BPS Irving Middle,Teacher,"$103,179.81",
Roosevelt K-8,Prin Clerk/School Sec 19,"$51,379.32",
Hernandez K-8,Part-Time Cafeteria Attendant,"$21,201.20",
"Kennedy, JF Elementary",Lead Satellite Attendant A,"$25,609.41",
BPS Orchard Gardens K-8 Pilot,Cafeteria Manager16,"$52,769.65",
Alighieri Montessori School,Lead Satellite Attendant B,"$13,194.45",
BPS Timilty Middle,Teacher,,
West Zone ELC,Teacher,"$99,426.18",
BPS McKinley Middle,Asst Program Director (7),"$119,149.16",
BPS Adams Elementary,Teacher,"$104,742.87",
UP Academy Dorchester,Part-Time Cafeteria Attendant,"$14,881.95",
Umana Middle,Asst Cafeteria Manager,"$40,305.48",
Curley K-8,Cafeteria Manager16,"$67,264.73",
BPS East Boston High,Teacher,"$104,128.07",
BPS Otis Elementary,Teacher,"$44,877.18",
Curley K-8,Teacher,"$98,089.72",
Boston Police Department,Distance Learning Coord ARRA,"$76,584.88",
Jackson/Mann K-8,Teacher,"$99,058.76",
BPS Murphy Elementary,Teacher,"$102,352.36",
BPS Business Service,BPS Worker's Comp Job Class,,
BPS Adams Elementary,Teacher,"$93,385.85",
BPS Mather Elementary,Paraprofessional,"$32,474.27",
BPS Boston Comm Leadership Ac,Headmaster,"$123,173.07",
Curley K-8,Paraprofessional,"$33,777.34",
BPS Condon Elementary,Paraprofessional,"$57,819.18",
BPS Lee Elementary,Paraprofessional,"$31,489.66",
BPS Mather Elementary,Teacher,"$105,733.63",
Asst Superintendent-Network A,Instructional Superintendent,"$159,961.28",
BPS Transportation,Standby Cab Monitor HE,"$24,252.19",
East Boston EEC,Paraprofessional,"$28,791.73",
BPS Ellis Elementary,Teacher,"$105,767.47",
BPS Sumner Elementary,Paraprofessional,"$29,372.45",
BPS Mason Elementary,Teacher,"$102,724.14",
BPS Facility Mgmt/A & R,Chief Sup-Sch Bdg/Al & Rep,"$96,450.90",
BPS Facility Mgmt/A & R,Unit Leader (D),"$123,536.74",
BPS Brighton High,Teacher,"$108,822.68",
Roosevelt K-8,Paraprofessional,"$26,383.16",
BPS Human Resource Team,Teacher,"$104,742.87",
BPS Condon Elementary,Paraprofessional,"$41,847.79",
Lyon Pilot High 9-12,Headmaster,"$134,583.87",
BPS Timilty Middle,Teacher,"$123,876.99",
BPS Condon Elementary,Teacher,"$100,173.70",
BPS Special Education,Teacher,"$102,724.14",
Higginson/Lewis K-8,Teacher,"$101,948.82",
"Kennedy, PJ Elementary",Lunch Hour Monitors,"$8,748.06",
BPS Business Service,BPS Worker's Comp Job Class,,
BPS English High,Social Worker/Coordinator,"$36,135.08",
Haley Pilot,Teacher,"$91,893.12",
BPS East Boston High,Teacher,"$70,611.46",
BPS Special Education,Teacher,"$101,314.09",
West Zone ELC,Surround Care Paraprofessional,"$42,110.04",
BPS Burke High,Teacher,"$63,568.36",
BPS Everett Elementary,Paraprofessional,"$31,851.71",
BPS Timilty Middle,Teacher,"$109,577.54",
BPS Brighton High,Teacher,"$97,886.57",
BPS McKinley Middle,Guidance Advisor(1),"$106,153.78",
Unified Student Svc,Specialist (BTU) non ac,"$98,793.84",
BPS Special Education,One to One Para,"$47,430.54",
BPS Human Resource Team,Teacher,"$91,627.18",
BPS Ohrenberger Elementary,Teacher,"$96,783.12",
BPS Boston Latin,Teacher,"$102,564.40",
BTU Pilot,Teacher,"$90,618.74",
Mildred Avenue K-8,Paraprofessional,"$39,261.26",
English Language Learn,Specialist (C),"$77,786.41",
Ellison/Parks EES,SpEd Support Svcs Coordinator,"$87,507.89",
Roosevelt K-8,Teacher,"$81,422.27",
BPS Edwards Middle,Specialist (BTU),"$60,531.69",
BPS O'Bryant School,Teacher,"$110,083.64",
BPS Brighton High,Teacher,"$102,575.69",
Margarita Muniz Academy,Teacher,"$94,208.99",
Edison K-8,Teacher,"$101,456.12",
BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$28,865.57",
King K-8,Nurse,"$102,755.79",
BPS Health Service,Senior Director (BASAS 12B),"$88,023.08",
BPS Irving Middle,Teacher,"$108,637.77",
BPS Brighton High,School Psychologist(1),"$107,387.33",
Lyndon K-8,Teacher,"$123,086.50",
BPS East Boston High,Teacher,,
Higginson/Lewis K-8,Paraprofessional,"$22,006.18",
Jackson/Mann K-8,Teacher,"$104,016.85",
BPS Condon Elementary,Paraprofessional,"$29,446.08",
Ellison/Parks EES,Surround Care Paraprofessional,"$38,020.01",
BPS Brighton High,Teacher,"$83,604.23",
BPS Transportation,Cab Monitor,"$25,124.18",
Curley K-8,Teacher,"$103,624.71",
BPS Business Service,Prin Account Clerk 29,"$64,541.88",
BPS Sumner Elementary,Teacher,"$108,871.49",
Lyon Pilot High 9-12,Paraprofessional,"$48,352.07",
BPS Trotter Elementary,Teacher,"$78,611.83",
Edison K-8,Teacher,"$102,755.79",
BPS Charlestown High,Paraprofessional,"$23,454.13",
Curley K-8,Nurse,"$88,548.56",
BPS Condon Elementary,Lead Satellite Attendant A,,
Curley K-8,Paraprofessional,"$29,606.51",
BPS Boston Evening Academy,Lead Satellite Attendant B,$583.56,
BPS Bradley Elementary,Teacher,"$90,867.81",
Hurley K-8,Teacher,"$104,550.37",
BPS Human Resource Team,Pr Admin Clerk 31,"$68,126.37",
BPS Business Service,Prin Account Clerk 29,"$64,753.41",
Accountability,Program Director (Basas 9A),"$109,540.07",
BPS Bradley Elementary,Teacher,"$53,023.47",
West Zone ELC,Surround Care Paraprofessional,"$34,019.80",
BPS Roland Hayes Div of Music,Program Director (Basas 9A),"$118,920.88",
BPS East Boston High,Rotc Instructor,"$66,742.00",
BPS McKinley Middle,Teacher,"$113,143.06",
BPS Facility Management,Sen Cust C,"$68,269.84",
BPS McKinley Middle,Guidance Advisor(1),"$101,496.67",
BPS Conley Elementary,SpEd Support Svcs Coordinator,"$92,616.64",
BPS Special Education,SpEd Support Svcs Supervisor,"$121,041.96",
BPS Special Education,Teacher,"$102,916.00",
BPS Lee Elementary,Teacher,"$103,264.71",
BPS Facility Mgmt/A & R,Sen Tech - Energy,"$87,832.94",
BPS Special Education,Specialist (BTU),"$101,375.69",
"Greenwood, S K-8",Teacher,"$99,845.80",
Curley K-8,Teacher,"$91,982.35",
BPS Alternative Education HS,Teacher,"$103,108.64",
BPS Latin Academy,Teacher,"$96,398.89",
Curley K-8,Teacher,,
BPS Higginson Elementary,Teacher,"$98,120.92",
BPS Mendell Elementary,Teacher,"$97,840.62",
BPS Everett Elementary,Teacher,"$89,545.84",
BPS Boston Latin,Teacher,"$102,152.91",
BPS Winthrop Elementary,Teacher,"$101,051.08",
Haley Pilot,Teacher,"$89,221.22",
BPS Special Education,Teacher,"$104,295.45",
BPS Harvard/Kent Elementary,Teacher,"$105,790.71",
BPS Boston Latin,Teacher,"$101,985.59",
BPS Boston Evening Academy,Teacher,"$94,075.13",
Tobin K-8,Teacher,"$106,045.41",
BPS East Boston High,Teacher,"$103,672.84",
BPS Ellis Elementary,Teacher,"$104,550.37",
BPS High School Renewal,Asst Superintendent,"$152,332.97",
West Roxbury Academy,Swimming Instructor,"$87,107.10",
Higginson/Lewis K-8,Teacher,"$103,179.81",
"Greenwood, S K-8",Teacher,"$95,389.53",
Lyndon K-8,Teacher,"$94,587.38",
BPS Russell Elementary,Teacher,"$99,231.80",
Info & Instr Technology,Planner,"$101,624.11",
BPS Special Education,Sen Clerk School Sec 766-15B,"$40,392.55",
BPS Murphy Elementary,Teacher,"$88,548.56",
BPS Latin Academy,Teacher,"$108,529.14",
Ellison/Parks EES,Teacher,"$91,751.62",
BPS Ohrenberger Elementary,Teacher,"$109,730.79",
BPS Horace Mann,Lead Sign Language Interpreter,"$99,301.58",
BPS O'Bryant School,Teacher,"$89,426.08",
BPS Roland Hayes Div of Music,Prin Clerk/School Sec 21,"$52,360.62",
BPS Otis Elementary,Teacher,"$106,714.79",
BPS Murphy Elementary,Teacher,"$98,681.10",
BPS Special Education,Teacher,"$103,932.80",
BPS McKinley Middle,Paraprofessional,"$32,344.05",
Edison K-8,Specialist (BTU),"$97,840.62",
BPS Murphy Elementary,Teacher,"$97,840.62",
"Kennedy, PJ Elementary",Teacher,"$82,465.83",
Haley Pilot,Paraprofessional,"$28,141.85",
East Boston EEC,Surround Care Paraprofessional,,
BPS East Boston High,Teacher,"$103,108.64",
BPS Trotter Elementary,Teacher,"$101,616.74",
WREC: Urban Science Academy,Student Dev Counselor (1),"$141,438.17",
BPS Substitute Teachers/Nurs,Substitute Teacher,"$20,833.44",
BTU Pilot,Teacher,"$78,910.77",
BPS Winthrop Elementary,Teacher,"$72,409.20",
BPS Quincy Elementary,Teacher,"$116,142.42",
BPS McKinley Middle,Teacher,"$99,173.16",
Tobin K-8,Lunch Hour Monitors,"$8,748.06",
Mildred Avenue K-8,Teacher,"$101,238.15",
BPS Brighton High,Teacher,"$47,597.55",
BPS Quincy Elementary,Paraprofessional,,
BPS Condon Elementary,Teacher,"$107,556.99",
BPS Kenny Elementary,SpEd Support Svcs Coordinator,"$106,332.65",
BPS Winship Elementary,Teacher,"$103,666.07",
Haley Pilot,Principal Elementary,"$132,631.27",
Young Achievers K-8,Teacher,"$82,439.58",
Umana Middle,Teacher,"$91,554.67",
Teaching & Learning,Teacher,"$63,816.33",
Curley K-8,Part-Time Cafeteria Attendant,"$14,246.00",
BPS Madison Park High,Teacher,"$68,655.52",
Tobin K-8,Paraprofessional,"$41,422.18",
Jackson/Mann K-8,Teacher,"$72,706.62",
BPS Hennigan Elementary,Teacher,"$95,516.86",
BPS Boston Comm Leadership Ac,Teacher,"$96,809.89",
"Greenwood, S K-8",SpEd Support Svcs Coordinator,"$94,919.86",
BPS Special Education,Teacher,"$87,107.10",
Gardner Pilot  Academy,Teacher,"$91,751.62",
UP Academy Dorchester,Cafeteria Manager16,"$50,052.97",
BPS Business Service,BPS Worker's Comp Job Class,,
BPS Boston Arts Academy,Teacher,"$113,140.58",
Mildred Avenue K-8,Teacher,"$95,847.42",
BPS Horace Mann,Paraprofessional,"$30,667.91",
Edison K-8,Teacher,"$102,755.79",
BPS Conley Elementary,Teacher,"$105,796.76",
BPS Madison Park High,Teacher,,
BPS Health Service,Nurse,"$89,426.08",
BPS Boston Latin,Part-Time Cafeteria Attendant,"$14,133.30",
West Roxbury Academy,Teacher,,
BPS Orchard Gardens K-8 Pilot,Nurse,"$102,635.99",
Hernandez K-8,Paraprofessional,"$7,309.54",
BPS Murphy Elementary,Paraprofessional,"$35,299.12",
Registry Division,Prin Clerk (Vitals/Registry),"$46,817.68",
BPS Special Education,Technician (B),"$41,355.09",
BPS Channing Elementary,Teacher,"$93,368.58",
BPS Substitute Teachers/Nurs,Substitute Teacher,"$3,985.65",
BPS Ellis Elementary,Teacher,"$96,783.12",
Asst Superintendent-Network A,Instructional Superintendent,"$163,660.69",
BPS Edwards Middle,Paraprofessional,"$34,716.07",
"Kennedy, PJ Elementary",Community Field Coordinator,"$65,043.93",
BPS Mozart Elementary,Lead Satellite Attendant B,"$18,033.48",
Kilmer K-8,Teacher,"$100,713.22",
BPS Quincy Elementary,Teacher,,
English Language Learn,Specialist (BTU),"$103,555.87",
BPS South Boston High,Cafeteria Manager14,"$41,350.17",
BPS Channing Elementary,Teacher,"$98,017.63",
BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$22,324.16",
Mildred Avenue K-8,Paraprofessional,"$40,385.47",
BPS Condon Elementary,Teacher,"$104,165.87",
King K-8,Teacher,,
Kilmer K-8,SpEd Support Svcs Coordinator,"$103,166.39",
Haynes EEC,Paraprofessional,"$36,125.11",
BPS Boston Comm Leadership Ac,Nurse,"$90,694.09",
Dudley St. Neighborhood School,Teacher,"$92,921.47",
BPS Sumner Elementary,Lunch Hour Monitors,"$7,794.48",
Haynes EEC,Paraprofessional,"$36,416.58",
BPS East Boston High,Teacher,"$94,075.13",
BPS Ohrenberger Elementary,Asst Principal Elementary,"$121,321.62",
BPS Winthrop Elementary,Teacher,"$100,898.89",
BPS Murphy Elementary,Nurse,"$108,749.51",
BPS Health Service,Health Para,"$49,545.51",
BPS Health Service,Health Para,"$45,344.83",
BPS Conley Elementary,Teacher,"$88,804.87",
BPS Orchard Gardens K-8 Pilot,Teacher,"$104,255.69",
BPS Russell Elementary,Lunch Hour Monitors,"$8,789.52",
BPS Latin Academy,Teacher,"$101,867.98",
BPS Murphy Elementary,Teacher,"$97,840.62",
Umana Middle,Teacher,"$100,847.24",
BPS Boston Arts Academy,SpEd Support Svcs Coordinator,"$104,379.38",
BPS Clap Elementary,Teacher,"$96,199.97",
"Kennedy, PJ Elementary",Specialist (BTU),"$93,193.35",
BPS Transportation,Cab Monitor,"$8,510.43",
BPS Facility Management,Sen Cust C/Nights,"$60,990.01",
BPS Holmes Elementary,Lead Satellite Attendant B,"$23,632.53",
Hurley K-8,Paraprofessional,"$36,715.73",
BPS Facility Management,Sen Cust C,"$62,202.80",
BPS Special Education,Community Field Coordinator,"$78,632.39",
BPS Chittick Elementary,Teacher,"$107,811.69",
Jackson/Mann K-8,Community Field Coordinator,"$44,014.40",
Baldwin ELC,Surround Care Paraprofessional,"$42,154.51",
BPS Timilty Middle,Part-Time Cafeteria Attendant,,
Jackson/Mann K-8,Teacher,"$106,017.11",
BPS Madison Park High,Security Para,"$44,624.81",
BPS McKinley Middle,Teacher,"$106,153.78",
BPS Timilty Middle,Teacher,"$116,831.54",
Hurley K-8,Teacher,"$96,270.52",
BPS Hale Elementary,Teacher,"$102,755.79",
BPS Murphy Elementary,Lunch Hour Monitors,"$8,374.92",
BPS Latin Academy,Teacher,"$101,314.09",
BPS Russell Elementary,Paraprofessional,"$35,444.92",
BPS Chittick Elementary,Paraprofessional,"$31,625.85",
BPS Manning Elementary,Teacher,"$93,874.43",
"Kennedy, JF Elementary",Paraprofessional,"$38,451.96",
Umana Middle,Director (D) (non-ac),"$108,064.19",
BPS Facility Management,Sen Cust C,"$59,232.89",
BPS Facility Management,Jr Cust/Nights,"$14,957.09",
Environment Department,Environmental Asst,"$66,799.85",
BPS Brighton High,Student Dev Counselor (1),"$98,337.48",
Newcomers Academy,Teacher,"$104,236.63",
BPS Mason Elementary,Teacher,"$103,108.64",
BPS Special Education,Teacher,"$101,486.20",
BPS Condon Elementary,Teacher,"$104,898.37",
BPS Special Education,Teacher,"$103,658.08",
BPS Special Education,Teacher,"$60,788.46",
BPS Alternative Education HS,Teacher,"$101,314.09",
BPS Special Education,Teacher,"$71,325.53",
BPS Special Education,Teacher,,
BPS Special Education,SpEd Support Svcs Coordinator,"$103,108.64",
BPS Horace Mann,Asst Principal Middle,"$122,109.68",
Haynes EEC,Teacher,"$91,607.10",
BPS Condon Elementary,Asst Principal Elementary,"$125,109.56",
Chief Operating Officer,Operational Superintendent,"$108,044.16",
BPS Special Education,Teacher,"$99,006.96",
BPS Special Education,Teacher,,
BPS East Boston High,Rotc Instructor,"$87,107.10",
BPS Burke High,Teacher,"$103,743.57",
BPS Business Service,BPS Worker's Comp Job Class,,
BPS Ohrenberger Elementary,Teacher,"$104,635.27",
BPS Quincy Elementary,Teacher,"$93,193.35",
BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$26,208.32",
BPS Guild Elementary,Teacher,"$68,171.53",
Chief Operating Officer,Operational Leader,"$130,182.00",
BPS Mather Elementary,Teacher,"$98,138.98",
Info & Instr Technology,Sen Computer Repair Technician,"$65,542.88",
Warren/Prescott K-8,Teacher,"$91,752.40",
HPEC: Com Acd Science & Health,Teacher,"$101,314.09",
BPS Orchard Gardens K-8 Pilot,Librarian,"$70,222.90",
BPS Bates Elementary,Teacher,"$95,658.36",
BPS Boston Latin,Teacher,"$102,118.64",
BPS Perkins Elementary,Teacher,"$108,347.24",
BPS Mather Elementary,Teacher,"$108,151.29",
Haley Pilot,Teacher,"$47,037.58",
BPS Quincy Elementary,Teacher,"$91,668.22",
HPEC: Com Acd Science & Health,Prin Clerk/School Sec 21,"$2,013.87",
BPS Boston Latin,Asst Headmaster,"$120,492.06",
P. A. Shaw Elementary,Teacher,"$91,554.67",
BPS Alternative Education HS,Registrar,"$97,758.20",
BPS Human Resource Team,Teacher,"$91,367.12",
Frederick Pilot Middle,Teacher,"$98,467.49",
Boston Fire Department,Fire Lieutenant,"$127,089.66",
BPS Facility Management,Sen Cust C,"$63,719.80",
BPS Madison Park High,Teacher,"$109,304.20",
BPS English High,Asst Headmaster,"$88,272.36",
BPS Transportation,Transportation Officer,"$83,433.24",
"Greenwood, S K-8",Prin Clerk/School Sec 19,"$54,325.26",
BPS Ohrenberger Elementary,Teacher,"$104,550.37",
BPS Human Resource Team,Teacher,"$90,867.81",
BPS Tynan Elementary,Teacher,"$93,193.35",
BPS Hennigan Elementary,Part-Time Cafeteria Attendant,"$14,173.55",
BPS English High,Part-Time Cafeteria Attendant,"$14,439.20",
Curley K-8,Part-Time Cafeteria Attendant,"$1,159.20",
Frederick Pilot Middle,Part-Time Cafeteria Attendant,"$14,680.70",
BPS Quincy Elementary,Asst Principal Elementary,"$122,559.74",
BPS Boston Comm Leadership Ac,SpEd Support Svcs Coordinator,"$67,450.10",
BPS Mckay Elementary,Teacher,"$93,193.35",
BPS Madison Park High,Part-Time Cafeteria Attendant,"$21,732.50",
Hurley K-8,Teacher,"$63,594.28",
BPS Timilty Middle,Teacher,"$110,314.59",
BPS Facility Management,Sen Cust C/Nights,"$62,615.80",
BPS Facility Mgmt/A & R,Sen Sup School Bldgs Alt&Rep,"$87,832.94",
BPS Facility Management,Sen Cust C,"$53,520.14",
BPS McKinley Middle,Lead Satellite Attendant B,"$29,662.20",
BPS Business Service,BPS Worker's Comp Job Class,,
BPS Cl#10 Lee Academy,Surround Care Paraprofessional,"$34,135.81",
BPS Philbrick Elementary,Teacher,"$89,983.23",
BPS Counseling Service,School Psychologist(1),"$34,200.56",
Hurley K-8,Teacher,"$99,789.20",
BPS Charlestown High,Teacher,"$91,751.62",
Gardner Pilot  Academy,Lead Satellite Attendant A,"$27,261.06",
Chief Operating Officer,Sen Analyst,"$109,412.36",
BTU Pilot,Paraprofessional,"$38,477.73",
Curley K-8,Teacher,"$101,556.57",
BPS Murphy Elementary,Teacher,"$100,173.70",
BPS Charlestown High,Paraprofessional,"$33,826.67",
"Kennedy, EM Health Academy",Lead Satellite Attendant B,"$24,466.53",
"UP ""Unlocking Potential"" Acad",Part-Time Cafeteria Attendant,"$26,193.55",
BPS East Boston High,Part-Time Cafeteria Attendant,"$22,706.55",
BPS English High,Headmaster,"$121,267.95",
BPS Ohrenberger Elementary,Social Worker/Coordinator,"$60,677.78",
BPS East Boston High,Small Learning Comm Leader,"$123,242.00",
BPS Mather Elementary,Nurse,"$105,967.77",
